timestamp_s,elapsed_s,memory_current_bytes,memory_high_bytes,memory_max_bytes,evt_low,evt_high,evt_max,evt_oom,evt_oom_kill,anon_bytes,file_bytes,pgfault,pgmajfault,pod_memory_min_bytes
1773698035.321911390,.000962335,39448576,483180544,536870912,0,0,0,0,0,35553280,3489792,10774,7,268435456
1773698037.346704491,2.025755436,60469248,483180544,536870912,0,0,0,0,0,56532992,3489792,15896,7,268435456
1773698039.361822653,4.040873598,81723392,483180544,536870912,0,0,0,0,0,77512704,3489792,21018,7,268435456
1773698041.376376045,6.055426990,102744064,483180544,536870912,0,0,0,0,0,98492416,3489792,26140,7,268435456
1773698043.390972818,8.070023763,123527168,483180544,536870912,0,0,0,0,0,119472128,3489792,31262,7,268435456
1773698045.406699447,10.085750392,144785408,483180544,536870912,0,0,0,0,0,140451840,3489792,36384,7,268435456
1773698047.434117068,12.113168013,165568512,483180544,536870912,0,0,0,0,0,161431552,3489792,41506,7,268435456
1773698049.452788020,14.131838965,186826752,483180544,536870912,0,0,0,0,0,182411264,3489792,46628,7,268435456
1773698051.467079394,16.146130339,207609856,483180544,536870912,0,0,0,0,0,203390976,3489792,51750,7,268435456
1773698053.481744630,18.160795575,228868096,483180544,536870912,0,0,0,0,0,224370688,3489792,56872,7,268435456
1773698055.496924877,20.175975822,249651200,483180544,536870912,0,0,0,0,0,245350400,3489792,61994,7,268435456
1773698057.523588266,22.202639211,270909440,483180544,536870912,0,0,0,0,0,266330112,3489792,67116,7,268435456
1773698059.538265621,24.217316566,291692544,483180544,536870912,0,0,0,0,0,287309824,3489792,72238,7,268435456
1773698061.552782746,26.231833691,312950784,483180544,536870912,0,0,0,0,0,308289536,3489792,77360,7,268435456
1773698063.567437223,28.246488168,333733888,483180544,536870912,0,0,0,0,0,329269248,3489792,82482,7,268435456
1773698065.582248704,30.261299649,354754560,483180544,536870912,0,0,0,0,0,350248960,3489792,87604,7,268435456
1773698067.598488336,32.277539281,376012800,483180544,536870912,0,0,0,0,0,371228672,3489792,92726,7,268435456
1773698069.613403613,34.292454558,396795904,483180544,536870912,0,0,0,0,0,392208384,3489792,97848,7,268435456
1773698071.627998818,36.307049763,417816576,483180544,536870912,0,0,0,0,0,413188096,3489792,102970,7,268435456
1773698073.643249790,38.322300735,438837248,483180544,536870912,0,0,0,0,0,434167808,3489792,108092,7,268435456
1773698075.658319333,40.337370278,460070912,483180544,536870912,0,0,0,0,0,455147520,3489792,113214,7,268435456
1773698077.680896427,42.359947372,480878592,483180544,536870912,0,0,0,0,0,476127232,3489792,118336,7,268435456
1773698079.695589799,44.374640744,493891584,483180544,536870912,0,424,0,0,0,492650496,0,122371,7,268435456
1773698081.711104623,46.390155568,498606080,483180544,536870912,0,849,0,0,0,496087040,0,123210,7,268435456
1773698083.725606797,48.404657742,501276672,483180544,536870912,0,1223,0,0,0,499220480,0,123975,7,268435456
1773698085.740627416,50.419678361,503418880,483180544,536870912,0,1546,0,0,0,501641216,0,124566,7,268435456
1773698087.755353939,52.434404884,505290752,483180544,536870912,0,1818,0,0,0,502968320,0,124890,7,268435456
1773698089.770727073,54.449778018,506638336,483180544,536870912,0,2056,0,0,0,504844288,0,125348,7,268435456
1773698091.785661086,56.464712031,507977728,483180544,536870912,0,2260,0,0,0,505917440,0,125610,7,268435456
1773698093.807768912,58.486819857,509054976,483180544,536870912,0,2447,0,0,0,507252736,0,125936,7,268435456
1773698095.823032496,60.502083441,509136896,483180544,536870912,0,2532,0,0,0,507863040,0,126085,7,268435456
1773698097.844719321,62.523770266,510726144,483180544,536870912,0,2702,0,0,0,508411904,0,126219,7,268435456
1773698099.859232383,64.538283328,511799296,483180544,536870912,0,2872,0,0,0,509476864,0,126479,7,268435456
1773698101.873549648,66.552600593,512090112,483180544,536870912,0,3008,0,0,0,510816256,0,126806,7,268435456
1773698103.888073840,68.567124785,512897024,483180544,536870912,0,3144,0,0,0,511094784,0,126874,7,268435456
1773698105.902928833,70.581979778,513445888,483180544,536870912,0,3280,0,0,0,512163840,0,127135,7,268435456
1773698107.918453079,72.597504024,514252800,483180544,536870912,0,3416,0,0,0,512450560,0,127205,7,268435456
1773698109.933246828,74.612297773,514281472,483180544,536870912,0,3535,0,0,0,512995328,0,127338,7,268435456
1773698111.953087176,76.632138121,515088384,483180544,536870912,0,3671,0,0,0,513540096,0,127471,7,268435456
1773698113.967934728,78.646985673,515633152,483180544,536870912,0,3790,0,0,0,513826816,0,127541,7,268435456
1773698115.982594174,80.661645119,515915776,483180544,536870912,0,3909,0,0,0,514371584,0,127674,7,268435456
1773698118.001275975,82.680326920,516460544,483180544,536870912,0,4011,0,0,0,514658304,0,127744,7,268435456
1773698120.016183808,84.695234753,516747264,483180544,536870912,0,4130,0,0,0,515194880,0,127875,7,268435456
1773698122.030752568,86.709803513,517029888,483180544,536870912,0,4232,0,0,0,515223552,0,127882,7,268435456
1773698124.045566799,88.724617744,517054464,483180544,536870912,0,4334,0,0,0,515764224,0,128014,7,268435456
1773698126.060850449,90.739901394,517337088,483180544,536870912,0,4453,0,0,0,516046848,0,128083,7,268435456
1773698128.087190999,92.766241944,518397952,483180544,536870912,0,4555,0,0,0,517111808,0,128343,7,268435456
1773698130.101838651,94.780889596,518418432,483180544,536870912,0,4640,0,0,0,517128192,0,128347,7,268435456
1773698132.116273943,96.795324888,518959104,483180544,536870912,0,4742,0,0,0,517668864,0,128479,7,268435456
1773698134.131227509,98.810278454,519237632,483180544,536870912,0,4827,0,0,0,517951488,0,128548,7,268435456
1773698136.146229096,100.825280041,519368704,483180544,536870912,0,4878,0,0,0,518082560,0,128580,7,268435456
1773698138.172356342,102.851407287,519655424,483180544,536870912,0,4980,0,0,0,518361088,0,128648,7,268435456
1773698140.187388491,104.866439436,520450048,483180544,536870912,0,5065,0,0,0,518901760,0,128780,7,268435456
1773698142.201977260,106.881028205,520728576,483180544,536870912,0,5150,0,0,0,519434240,0,128910,7,268435456
1773698144.216233944,108.895284889,521265152,483180544,536870912,0,5235,0,0,0,519712768,0,128978,7,268435456
1773698146.230805848,110.909856793,521285632,483180544,536870912,0,5320,0,0,0,519987200,0,129045,7,268435456
1773698148.246380534,112.925431479,521564160,483180544,536870912,0,5405,0,0,0,520011776,0,129051,7,268435456
1773698150.260768844,114.939819789,521842688,483180544,536870912,0,5490,0,0,0,520282112,0,129117,7,268435456
1773698152.275902181,116.954953126,521863168,483180544,536870912,0,5575,0,0,0,520564736,0,129186,7,268435456
1773698154.291102353,118.970153298,522141696,483180544,536870912,0,5660,0,0,0,520835072,0,129252,7,268435456
1773698156.306114137,120.985165082,522158080,483180544,536870912,0,5728,0,0,0,520859648,0,129258,7,268435456
1773698158.321379361,123.000430306,522436608,483180544,536870912,0,5813,0,0,0,520884224,0,129264,7,268435456
1773698160.336966947,125.016017892,522199040,483180544,536870912,0,5898,0,0,0,520896512,0,129267,7,268435456
1773698162.351681897,127.030732842,522219520,483180544,536870912,0,5983,0,0,0,520916992,0,129272,7,268435456
1773698164.366544204,129.045595149,522752000,483180544,536870912,0,6051,0,0,0,521199616,0,129341,7,268435456
1773698166.384710486,131.063761431,522514432,483180544,536870912,0,6136,0,0,0,521211904,0,129344,7,268435456
1773698168.406258951,133.085309896,522534912,483180544,536870912,0,6221,0,0,0,521236480,0,129350,7,268435456
1773698170.421104761,135.100155706,522551296,483180544,536870912,0,6289,0,0,0,521248768,0,129353,7,268435456
1773698172.435511076,137.114562021,523087872,483180544,536870912,0,6374,0,0,0,521527296,0,129421,7,268435456
1773698174.449937860,139.128988805,523362304,483180544,536870912,0,6442,0,0,0,522063872,0,129552,7,268435456
1773698176.464606456,141.143657401,523640832,483180544,536870912,0,6527,0,0,0,522076160,0,129555,7,268435456
1773698178.485237583,143.164288528,523657216,483180544,536870912,0,6595,0,0,0,522354688,0,129623,7,268435456
1773698180.499512084,145.178563029,524193792,483180544,536870912,0,6680,0,0,0,522625024,0,129689,7,268435456
1773698182.513972869,147.193023814,524210176,483180544,536870912,0,6748,0,0,0,522903552,0,129757,7,268435456
1773698184.528295112,149.207346057,524484608,483180544,536870912,0,6816,0,0,0,523186176,0,129826,7,268435456
1773698186.542984710,151.222035655,524500992,483180544,536870912,0,6884,0,0,0,523190272,0,129827,7,268435456
