timestamp_s,elapsed_s,memory_current_bytes,memory_high_bytes,memory_max_bytes,evt_low,evt_high,evt_max,evt_oom,evt_oom_kill,anon_bytes,file_bytes,pgfault,pgmajfault,pod_memory_min_bytes
1773803537.993599418,.001213664,36007936,510025728,536870912,0,0,0,0,0,35553280,36864,10741,0,0
1773803540.023418894,2.031033140,57024512,510025728,536870912,0,0,0,0,0,56532992,36864,15863,0,0
1773803542.090667462,4.098281708,78045184,510025728,536870912,0,0,0,0,0,77512704,36864,20985,0,0
1773803544.108527850,6.116142096,99303424,510025728,536870912,0,0,0,0,0,98492416,36864,26107,0,0
1773803546.129487670,8.137101916,120324096,510025728,536870912,0,0,0,0,0,119472128,36864,31229,0,0
1773803548.147949768,10.155564014,141107200,510025728,536870912,0,0,0,0,0,140451840,36864,36351,0,0
1773803550.171080706,12.178694952,162127872,510025728,536870912,0,0,0,0,0,161431552,36864,41473,0,0
1773803552.185416999,14.193031245,183148544,510025728,536870912,0,0,0,0,0,182411264,36864,46595,0,0
1773803554.201899954,16.209514200,204169216,510025728,536870912,0,0,0,0,0,203390976,36864,51717,0,0
1773803556.235489561,18.243103807,225189888,510025728,536870912,0,0,0,0,0,224370688,36864,56839,0,0
1773803558.251558820,20.259173066,246448128,510025728,536870912,0,0,0,0,0,245350400,36864,61961,0,0
1773803560.272023423,22.279637669,267235328,510025728,536870912,0,0,0,0,0,266330112,36864,67083,0,0
1773803562.294288820,24.301903066,288256000,510025728,536870912,0,0,0,0,0,287309824,36864,72205,0,0
1773803564.316828345,26.324442591,309514240,510025728,536870912,0,0,0,0,0,308289536,36864,77327,0,0
1773803566.332185656,28.339799902,330534912,510025728,536870912,0,0,0,0,0,329269248,36864,82449,0,0
1773803568.348068515,30.355682761,351555584,510025728,536870912,0,0,0,0,0,350248960,36864,87571,0,0
1773803570.366397993,32.374012239,372576256,510025728,536870912,0,0,0,0,0,371228672,36864,92693,0,0
1773803572.384161877,34.391776123,393596928,510025728,536870912,0,0,0,0,0,392208384,36864,97815,0,0
1773803574.403664503,36.411278749,414380032,510025728,536870912,0,0,0,0,0,413188096,36864,102937,0,0
1773803576.422666941,38.430281187,435638272,510025728,536870912,0,0,0,0,0,434167808,36864,108059,0,0
1773803578.439314038,40.446928284,456421376,510025728,536870912,0,0,0,0,0,455147520,36864,113181,0,0
1773803580.458374408,42.465988654,477442048,510025728,536870912,0,0,0,0,0,476127232,36864,118303,0,0
1773803582.478344795,44.485959041,498462720,510025728,536870912,0,0,0,0,0,497106944,36864,123425,0,0
1773803584.496813884,46.504428130,519376896,510025728,536870912,0,331,0,0,0,518082560,0,128547,0,0
1773803586.521041800,48.528656046,525209600,510025728,536870912,0,960,0,0,0,523644928,0,129905,0,0
1773803588.536376550,50.543990796,528670720,510025728,536870912,0,1402,0,0,0,526831616,0,130683,0,0
1773803590.553235983,52.560850229,529887232,510025728,536870912,0,1589,0,0,0,528433152,0,131074,0,0
1773803592.571146623,54.578760869,531763200,510025728,536870912,0,1895,0,0,0,529911808,0,131435,0,0
1773803594.592729301,56.600343547,534405120,510025728,536870912,0,2133,0,0,0,533078016,0,132208,0,0
1773803596.614967591,58.622581837,536002560,510025728,536870912,0,2337,0,0,0,534142976,0,132468,0,0
