timestamp_s,elapsed_s,memory_current_bytes,memory_high_bytes,memory_max_bytes,evt_low,evt_high,evt_max,evt_oom,evt_oom_kill,anon_bytes,file_bytes,pgfault,pgmajfault,pod_memory_min_bytes
1773803461.586003213,.001027888,36007936,510025728,536870912,0,0,0,0,0,35557376,36864,10772,0,0
1773803463.609659190,2.024683865,57262080,510025728,536870912,0,0,0,0,0,56537088,36864,15894,0,0
1773803465.625376714,4.040401389,78045184,510025728,536870912,0,0,0,0,0,77516800,36864,21016,0,0
1773803467.641823420,6.056848095,99065856,510025728,536870912,0,0,0,0,0,98496512,36864,26138,0,0
1773803469.657423911,8.072448586,120086528,510025728,536870912,0,0,0,0,0,119476224,36864,31260,0,0
1773803471.672281882,10.087306557,141107200,510025728,536870912,0,0,0,0,0,140455936,36864,36382,0,0
1773803473.692690985,12.107715660,162127872,510025728,536870912,0,0,0,0,0,161435648,36864,41504,0,0
1773803475.708027850,14.123052525,183148544,510025728,536870912,0,0,0,0,0,182415360,36864,46626,0,0
1773803477.724219608,16.139244283,204169216,510025728,536870912,0,0,0,0,0,203395072,36864,51748,0,0
1773803479.740133555,18.155158230,225189888,510025728,536870912,0,0,0,0,0,224374784,36864,56870,0,0
1773803481.758427142,20.173451817,246210560,510025728,536870912,0,0,0,0,0,245354496,36864,61992,0,0
1773803483.785259576,22.200284251,267231232,510025728,536870912,0,0,0,0,0,266334208,36864,67114,0,0
1773803485.811714407,24.226739082,288489472,510025728,536870912,0,0,0,0,0,287313920,36864,72236,0,0
1773803487.827189670,26.242214345,309272576,510025728,536870912,0,0,0,0,0,308293632,36864,77358,0,0
1773803489.852753404,28.267778079,330293248,510025728,536870912,0,0,0,0,0,329273344,36864,82480,0,0
1773803491.875670490,30.290695165,351313920,510025728,536870912,0,0,0,0,0,350253056,36864,87602,0,0
1773803493.898130190,32.313154865,372334592,510025728,536870912,0,0,0,0,0,371232768,36864,92724,0,0
1773803495.932694113,34.347718788,393355264,510025728,536870912,0,0,0,0,0,392212480,36864,97846,0,0
1773803497.966655607,36.381680282,414613504,510025728,536870912,0,0,0,0,0,413192192,36864,102968,0,0
1773803499.984913348,38.399938023,435634176,510025728,536870912,0,0,0,0,0,434171904,36864,108090,0,0
1773803502.013097693,40.428122368,456417280,510025728,536870912,0,0,0,0,0,455151616,36864,113212,0,0
1773803504.041646286,42.456670961,477675520,510025728,536870912,0,0,0,0,0,476131328,36864,118334,0,0
1773803506.067370393,44.482395068,498458624,510025728,536870912,0,0,0,0,0,497111040,36864,123456,0,0
1773803508.092227684,46.507252359,519372800,510025728,536870912,0,349,0,0,0,518086656,0,128578,0,0
1773803510.111340366,48.526365041,525201408,510025728,536870912,0,978,0,0,0,523386880,0,129872,0,0
1773803512.135054010,50.550078685,529186816,510025728,536870912,0,1454,0,0,0,527360000,0,130842,0,0
1773803514.162028874,52.577053549,530042880,510025728,536870912,0,1794,0,0,0,528183296,0,131043,0,0
1773803516.186604988,54.601629663,530444288,510025728,536870912,0,1964,0,0,0,528863232,0,131209,0,0
1773803518.212433986,56.627458661,531808256,510025728,536870912,0,2270,0,0,0,529948672,0,131474,0,0
1773803520.227657099,58.642681774,532901888,510025728,536870912,0,2525,0,0,0,531566592,0,131869,0,0
1773803522.243079696,60.658104371,534249472,510025728,536870912,0,2763,0,0,0,532672512,0,132139,0,0
1773803524.265271921,62.680296596,535592960,510025728,536870912,0,2984,0,0,0,533737472,0,132399,0,0
1773803526.280249697,64.695274372,535896064,510025728,536870912,0,3171,0,0,0,534560768,0,132600,0,0
